Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/15, 4:53 PM","WB6T","0","","","TELEMETRY_APP","3 / 3","4.2V 101%"
"3/15, 4:54 PM","0xFC to WB6T","","","","TRACEROUTE","",""
"3/15, 4:53 PM","MT","0","6.5","-41","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 4:54 PM","MFMY","0","","","TEXT_MESSAGE_APP","3 / 6",""
"3/15, 4:55 PM","MFMY","0","","","TEXT_MESSAGE_APP","3 / 6",""
"3/15, 4:55 PM","8998","0","","","POSITION_APP","7 / 7","(37.254, -121.888) 55m asl"
"3/15, 4:56 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/15, 4:55 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/15, 4:56 PM","OC5F","0","MQTT","","TELEMETRY_APP","3 / 5","3.3V 9%"
"3/15, 4:56 PM","0xFA to OC5F","0","","","NODEINFO_APP","1 / 7","0xFA Shrike"
"3/15, 4:57 PM","BOOM","0","","","POSITION_APP","4 / 5","(36.831, -119.878) 94m asl"
"3/15, 4:58 PM","0xFC to BOOM","","","","TRACEROUTE","",""
"3/15, 4:58 PM","MFMY to BOOM","0","","","NODEINFO_APP","3 / 6","MFM Mini Yellow"
"3/15, 4:58 PM","AB01","0","","","TELEMETRY_APP","7 / 7","4.3V 100%"
"3/15, 4:58 PM","BTVW","0","","","TELEMETRY_APP","4 / 7","4.2V 100%"
"3/15, 4:58 PM","TM1","0","","","TELEMETRY_APP","1 / 3","0.0V 101%"
"3/15, 4:59 PM","0xFC to TM1","","","","TRACEROUTE","",""
"3/15, 4:59 PM","a17c","0","","","POSITION_APP","7 / 7","(37.303, -122.028) 89m asl"
"3/15, 5:00 PM","0xFC to a17c","","","","TRACEROUTE","",""
"3/15, 4:59 PM","8c32","0","","","NODEINFO_APP","3 / 5","Pinebrook Kirt"
"3/15, 5:01 PM","DRW","0","","","TELEMETRY_APP","7 / 7","4.3V 101%"
"3/15, 5:01 PM","MP","0","","","TELEMETRY_APP","3 / 7","3.9V 69%"
"3/15, 5:02 PM","WB6T to MP","0","","","NODEINFO_APP","2 / 3","WB6TOU"
"3/15, 5:02 PM","RIPR to MP","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/15, 5:02 PM","elxx","0","","","POSITION_APP","3 / 7","(37.985, -120.298) 691m asl"
"3/15, 5:03 PM","0xFC to elxx","","","","TRACEROUTE","",""
"3/15, 5:02 PM","DS09","0","","","NODEINFO_APP","1 / 3","Deep Space 9"
"3/15, 5:03 PM","elxx to 0xFC","0","","","TRACEROUTE_APP","2 / 5","0xFC -> MT -> enrr -> 0xFA -> elxx"
"3/15, 5:03 PM","MT","0","6","-41","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 5:03 PM","MYR1","0","6.75","-42","TELEMETRY_APP","","4.1V 84%"
"3/15, 5:04 PM","!c7181daf","0","","","POSITION_APP","3 / 7","(37.942, -120.610) 189m asl"
"3/15, 5:04 PM","0xFA to !c7181daf","0","","","NODEINFO_APP","1 / 7","0xFA Shrike"
"3/15, 5:05 PM","elxx","0","","","NODEINFO_APP","3 / 7","GG_crumpled.01"
"3/15, 5:05 PM","TM1","0","","","POSITION_APP","3 / 3","(37.513, -120.875) 40m asl"
"3/15, 5:05 PM","470b","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/15, 5:06 PM","0xFC to 470b","","","","TRACEROUTE","",""
"3/15, 5:05 PM","STN1","0","","","TELEMETRY_APP","2 / 7","4.1V 93%"
"3/15, 5:06 PM","STN1","0","","","TELEMETRY_APP","2 / 7",""
"3/15, 5:06 PM","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.413) 16m asl"
"3/15, 5:07 PM","0xFC to U951","","","","TRACEROUTE","",""
"3/15, 5:06 PM","A23G","0","MQTT","","TELEMETRY_APP","5 / 5","4.2V 98%"
"3/15, 5:07 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/15, 5:07 PM","GOYL","0","","","TELEMETRY_APP","2 / 5",""
"3/15, 5:07 PM","WB6T to GOYL","0","","","NODEINFO_APP","2 / 3","WB6TOU"
"3/15, 5:07 PM","d7af","0","","","POSITION_APP","2 / 3","(37.991, -121.746) ?m asl"
"3/15, 5:08 PM","0xFC to d7af","","","","TRACEROUTE","",""
"3/15, 5:07 PM","!5bd1927a","0","","","TELEMETRY_APP","3 / 3","4.1V 101%"
"3/15, 5:07 PM","8998","0","","","POSITION_APP","4 / 7","(37.254, -121.888) 55m asl"
"3/15, 5:08 PM","d7af","0","","","TELEMETRY_APP","3 / 3","0.0V 101%"
"3/15, 5:08 PM","!a5665697","0","","","TELEMETRY_APP","1 / 7","4.1V 93%"
"3/15, 5:09 PM","0xFA","0","","","TEXT_MESSAGE_APP","1 / 7",""
"3/15, 5:09 PM","!e4ea040","218","","","encrypted","2 / 7",""
"3/15, 5:09 PM","470b","0","","","POSITION_APP","2 / 7","(38.299, -120.298) 1455m asl"
"3/15, 5:09 PM","0xFA","0","","","TEXT_MESSAGE_APP","3 / 7",""
"3/15, 5:09 PM","RIPR to 0xFA","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/15, 5:10 PM","SLD1","0","","","TELEMETRY_APP","2 / 7","4.3V 101%"
"3/15, 5:10 PM","BIC","0","","","POSITION_APP","2 / 3","(38.037, -121.661) -18m asl"
"3/15, 5:11 PM","0xFC to BIC","","","","TRACEROUTE","",""
"3/15, 5:10 PM","enpl","0","","","TELEMETRY_APP","2 / 7","3.7V 50%"
"3/15, 5:10 PM","!a9e00e2f","0","-13","-123","TEXT_MESSAGE_APP","0 / 3",""
"3/15, 5:10 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/15, 5:11 PM","0xFC to enpl","","","","TRACEROUTE","",""
"3/15, 5:10 PM","0xFA","0","","","TEXT_MESSAGE_APP","2 / 7",""
"3/15, 5:11 PM","470b","0","MQTT","","TEXT_MESSAGE_APP","3 / 7",""
"3/15, 5:11 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/15, 5:12 PM","MFMY to !a2eb4184","0","","","NODEINFO_APP","4 / 6","MFM Mini Yellow"
"3/15, 5:12 PM","22b8","0","MQTT","","NODEINFO_APP","3 / 7","🦢 Snowshoe Lake"
"3/15, 5:13 PM","0xFC to 22b8","","","","TRACEROUTE","",""
"3/15, 5:13 PM","22b8 to 0xFC","0","","","TRACEROUTE_APP","3 / 6","0xFC -> MT -> enrr -> tblu -> BTVW -> 22b8"
"3/15, 5:13 PM","LBSS to !e2e386c4","0","","","NODEINFO_APP","5 / 5","ElembeMesh: Shell Solar"
"3/15, 5:13 PM","MT","0","6.25","-42","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 5:14 PM","RIPR","0","","","TELEMETRY_APP","2 / 3","4.2V 99%"
