Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/9, 11:48 PM","!2b21e1e3","0","","","TELEMETRY_APP","3 / 3","4.1V 93%"
"3/9, 11:48 PM","🧺","0","MQTT","","NODEINFO_APP","3 / 3","The Fold - Roof"
"3/9, 11:48 PM","!fa6ba8dc","107","","","encrypted","5 / 7",""
"3/9, 11:49 PM","!34a5bb81","0","","","POSITION_APP","4 / 7","(37.461, -122.154) 0m asl"
"3/9, 11:49 PM","0xFC to !34a5bb81","","","","TRACEROUTE","",""
"3/9, 11:49 PM","DBLF","0","","","TELEMETRY_APP","1 / 3","0.0V 101%"
"3/9, 11:50 PM","!9cdcebd0","0","","","TELEMETRY_APP","1 / 7",""
"3/9, 11:51 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/9, 11:51 PM","elxx","0","","","POSITION_APP","4 / 7",""
"3/9, 11:52 PM","22b8","0","MQTT","","POSITION_APP","3 / 7","(38.293, -120.275) 1435m asl"
"3/9, 11:52 PM","0xFC to 22b8","","","","TRACEROUTE","",""
"3/9, 11:53 PM","GG01","0","","","POSITION_APP","2 / 5","(37.985, -120.403) 629m asl"
"3/9, 11:54 PM","BMR","0","","","TELEMETRY_APP","2 / 3","4.2V 100%"
"3/9, 11:55 PM","!5aeeaad1","0","","","POSITION_APP","3 / 7","(37.932, -120.612) 275m asl"
"3/9, 11:55 PM","0xFC to !5aeeaad1","","","","TRACEROUTE","",""
"3/9, 11:55 PM","D to MYR1","0","","","NODEINFO_APP","7 / 7","Davetastic"
"3/9, 11:55 PM","0xFC to D","","","","TRACEROUTE","",""
"3/9, 11:56 PM","BIC","0","","","POSITION_APP","2 / 3","(38.037, -121.661) -6m asl"
"3/9, 11:56 PM","MT","0","6.25","-56","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 11:56 PM","BIC to !ea341ab4","0","","","NODEINFO_APP","3 / 3","Bethel Island Ca"
"3/9, 11:57 PM","MFMS","0","","","NODEINFO_APP","2 / 7","MFM Solar"
"3/9, 11:58 PM","8b04","0","","","POSITION_APP","5 / 7",""
"3/9, 11:58 PM","0xFC to 8b04","","","","TRACEROUTE","",""
"3/9, 11:59 PM","8b04 to 0xFC","0","","","TRACEROUTE_APP","3 / 5","0xFC -> MT -> tblu -> !a9e00e2f -> 8b04"
"3/9, 11:59 PM","ALF4","0","","","NODEINFO_APP","2 / 3","ALFa714"
"3/10, 12:00 AM","!acaa96f0","0","","","TELEMETRY_APP","6 / 7","4.3V 101%"
"3/10, 12:00 AM","!336780b0","0","MQTT","","POSITION_APP","6 / 7","(37.703, -122.441) 127m asl"
"3/10, 12:00 AM","0xFC to !336780b0","","","","TRACEROUTE","",""
"3/10, 12:01 AM","!2ecab4c","0","","","POSITION_APP","5 / 7","(36.307, -119.249) 105m asl"
"3/10, 12:02 AM","!a2eb8e58","0","","","TELEMETRY_APP","4 / 4","NaNV 101%"
"3/10, 12:02 AM","!3d7851bc","0","","","TELEMETRY_APP","4 / 4","4.0V 89%"
"3/10, 12:02 AM","0xFC to !3d7851bc","","","","TRACEROUTE","",""
"3/10, 12:03 AM","RM","0","","","POSITION_APP","5 / 6",""
"3/10, 12:03 AM","0xFC to RM","","","","TRACEROUTE","",""
"3/10, 12:03 AM","d7af","0","","","TELEMETRY_APP","3 / 3","0.0V 101%"
"3/10, 12:03 AM","0xFC to d7af","","","","TRACEROUTE","",""
"3/10, 12:04 AM","8c32","0","","","TELEMETRY_APP","2 / 5","4.1V 90%"
"3/10, 12:04 AM","St35","0","","","POSITION_APP","5 / 7","(37.251, -121.818) 66m asl"
"3/10, 12:04 AM","!a2e1a018","229","","","encrypted","5 / 5",""
"3/10, 12:04 AM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7","4.0V 85%"
"3/10, 12:05 AM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7",""
"3/10, 12:06 AM","MT","0","5","-58","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/10, 12:06 AM","🦝","0","","","TELEMETRY_APP","4 / 5",""
"3/10, 12:06 AM","0xFC","0","","","TELEMETRY_APP","",""
"3/10, 12:07 AM","!4357ee0c","0","","","POSITION_APP","4 / 4","(37.490, -122.287) 250m asl"
"3/10, 12:08 AM","!e618d2df","0","","","TELEMETRY_APP","3 / 3",""
"3/10, 12:08 AM","0xFC to !e618d2df","","","","TRACEROUTE","",""
"3/10, 12:08 AM","🦝","0","","","TELEMETRY_APP","5 / 5","0.0V 101%"
"3/10, 12:08 AM","!ac259c2d","0","","","TELEMETRY_APP","7 / 7",""
"3/10, 12:09 AM","AB01","0","","","NODEINFO_APP","6 / 7","Steelmountain_Node"
"3/10, 12:10 AM","!699c9e80","0","","","POSITION_APP","5 / 5","(36.831, -119.878) 92m asl"
"3/10, 12:10 AM","DBLF","0","","","TELEMETRY_APP","2 / 3",""
"3/10, 12:11 AM","37cf","0","","","TELEMETRY_APP","","4.1V 101%"
"3/10, 12:11 AM","22b8","0","MQTT","","POSITION_APP","4 / 7",""
"3/10, 12:11 AM","0xFC to 22b8","","","","TRACEROUTE","",""
"3/10, 12:11 AM","!79cfdddc","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/10, 12:11 AM","0xFC to !79cfdddc","","","","TRACEROUTE","",""
"3/10, 12:12 AM","8998","0","","","POSITION_APP","6 / 7","(37.254, -121.888) 55m asl"
"3/10, 12:12 AM","0xFC to 8998","","","","TRACEROUTE","",""
"3/10, 12:12 AM","!fc5336de","0","","","POSITION_APP","5 / 7","(38.457, -121.346) 34m asl"
"3/10, 12:12 AM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/10, 12:12 AM","!a2e9fa4c","0","","","POSITION_APP","4 / 4","(37.775, -122.395) 106m asl"
"3/10, 12:12 AM","0xFC to A23G","","","","TRACEROUTE","",""
"3/10, 12:13 AM","!e618d2df","0","","","POSITION_APP","3 / 3","(37.722, -121.132) 0m asl"
"3/10, 12:13 AM","!79cfdddc","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/10, 12:13 AM","MP","0","","","NODEINFO_APP","2 / 7","Meshpeater"
"3/10, 12:13 AM","!a2e1a018","229","","","encrypted","5 / 5",""
"3/10, 12:13 AM","!e618d2df","0","","","POSITION_APP","2 / 3","(37.722, -121.132) 0m asl"
"3/10, 12:14 AM","!fa6ba8dc","107","","","encrypted","6 / 7",""
"3/10, 12:15 AM","RTR","0","","","NODEINFO_APP","4 / 7","CN-RAK-ROOF-6DBI"
"3/10, 12:15 AM","P2NE","0","","","NODEINFO_APP","2 / 5","Pinebrook Gateway"
"3/10, 12:15 AM","MYR1 to !6983f450","0","6.25","-56","NODEINFO_APP","","Enorym_346c"
"3/10, 12:16 AM","8c32","0","","","TELEMETRY_APP","5 / 5",""
"3/10, 12:16 AM","MT","0","6.25","-56","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/10, 12:16 AM","!180ce245","0","MQTT","","POSITION_APP","6 / 7","(36.756, -119.810) 88m asl"
"3/10, 12:16 AM","0xFC to !180ce245","","","","TRACEROUTE","",""
"3/10, 12:17 AM","SLD1","0","","","NODEINFO_APP","4 / 7","SierraLD1"
"3/10, 12:19 AM","!69842be0","0","","","POSITION_APP","5 / 7","(37.251, -119.826) 474m asl"
"3/10, 12:19 AM","0xFC to !69842be0","","","","TRACEROUTE","",""
